original_id,wiki_id,wiki_name,match_score
177,Q7327552,Richard M. Moose,0.5
176,Q1257,Boutros Boutros-Ghali,0.5
179,Q214407,Félix Houphouët-Boigny,0.5
180,Q49068,Samuel W. Lewis,0.5
182,Q76297,Adam Malik,0.5
184,Q2006144,William E. Simon,0.5
185,Q597630,Clement J. Zablocki,0.5
186,Q12088099,Ващенко Василь Семенович,0.5
187,Q1094716,Claiborne Pell,0.5
188,Q4516981,Alexander Chmykhalov,0.5
190,Q353198,Seyni Kountché,0.5
191,Q173563,Jomo Kenyatta,0.5
192,Q5816,Mao Zedong,0.5
193,Q19878,Muammar al-Gaddafi,0.5
195,Q5858604,Stephen Low,0.5
194,Q313400,Lon Nol,1.0
196,Q352422,Mike Gravel,0.5
197,Q315568,Masayoshi Ōhira,0.5
198,Q6969791,Nathaniel Newnham-Davis,0.5
199,Q153509,Makarios III,0.5
201,Q5362988,Elizabeth Holtzman,0.5
202,Q1409940,Robert Bergland,0.5
203,Q7934870,Viron P. Vaky,0.5
204,Q737664,Carlos P. Romulo,0.5
205,Q14356,Park Chung-hee,0.5
206,Q288402,Carl Albert,0.5
207,Q1064692,Charles H. Percy,0.5
208,Q1538373,Ndabaningi Sithole,0.5
209,Q200499,Muhammad Zia-ul-Haq,0.5
210,Q10774241,John Gunther Dean,0.5
212,Q1033892,Bálint Harcos,0.5
213,Q3196693,Kim Chung-tae,0.5
211,Q131355,Zulfiqar Ali Bhutto,0.5
214,Q16734728,Prince Abdulaziz Bin Salman Bin Mohammed Al Saud,0.5
216,Q7821144,Tongsun Park,1.0
217,Q467328,Hugh Scott,0.5
218,Q66107,Henry Kissinger,0.5
219,Q7792839,Thomas O. Enders,0.5
220,Q19878,Muammar al-Gaddafi,0.5
221,Q276524,Robert Byrd,0.5
222,Q294241,Ernesto Geisel,0.5
225,Q880776,William Scranton,0.5
226,Q183469,Juanita M. Kreps,0.5
228,Q42992,Golda Meir,0.5
231,Q57428904,,0.5
232,Q312185,Edward Gierek,0.5
233,Q76,Barack Obama,0.5
234,Q315613,José López Portillo,0.5
235,Q282519,Joseph Nanven Garba,0.5
236,Q275147,Huang Hua,1.0
237,Q295128,Gaston Thorn,0.5
240,Q989,Johannes Paul II.,0.5
242,Q864545,Donald M. Fraser,0.5
243,Q533169,John Brademas,0.5
244,Q23685,Jimmy Carter,0.5
245,Q285536,Imelda Marcos,0.5
246,Q198313,Ziaur Rahman,0.5
247,Q3088826,Grace Zaring Stone,0.5
250,Q171834,Aldo Moro,0.5
248,Q5293990,Donald B. Easum,0.5
249,Q66107,Henry Kissinger,0.5
252,Q1337643,Howard Baker,0.5
251,Q118725,Hafiz al-Assad,0.5
255,Q953882,Simcha Dinitz,0.5
256,Q5480803,"Francis E. Meloy, Jr.",0.5
257,Q57410,Shimon Peres,0.5
258,Q3129951,Helmut Sonnenfeldt,0.5
259,Q147989,Joaquín Balaguer,0.5
260,Q6698543,Lucy W. Benson,0.5
261,Q343514,İhsan Sabri Çağlayangil,0.5
262,Q19943,Juan Carlos I.,0.5
263,Q317675,Takeo Miki,0.5
264,Q8008305,"William E. Schaufele, Jr.",0.5
265,Q313411,George P. Shultz,0.5
268,Q4388117,Sunao Sonoda,0.5
